,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
334,335,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,2014-04-15
453,454,Bhatinda,Goniana(Mehma Sarja),Wheat,Other,FAQ,1400,1400,1400,2014-04-16
1919,1920,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1400,1400,1400,2014-04-17
311,312,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,2014-04-18
1562,1563,Bhatinda,Sangat,Wheat,Kanak,FAQ,1400,1405,1400,2014-04-19
929,930,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1400,1400,1400,2014-04-20
281,282,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,2014-04-21
272,273,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,2014-04-22
1520,1521,Bhatinda,Sangat,Wheat,Kanak,FAQ,1400,1405,1400,2014-04-23
1131,1132,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1400,1400,1400,2014-04-24
1212,1213,Bhatinda,Rampuraphul(Dhapali),Wheat,Other,FAQ,1400,1400,1400,2014-04-25
1122,1123,Bhatinda,Rampuraphul(Chowke),Wheat,Other,FAQ,1400,1400,1400,2014-04-26
897,898,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1400,1400,1400,2014-04-27
1009,1010,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1400,1400,1400,2014-04-28
889,890,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1400,1400,1400,2014-04-29
1466,1467,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1400,1400,1400,2014-05-01
678,679,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,2014-05-02
865,866,Bhatinda,Raman,Wheat,Other,FAQ,1400,1400,1400,2014-05-03
400,401,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1425,1400,2014-05-04
1840,1841,Bhatinda,Talwandi Sabo,Wheat,Other,FAQ,1400,1400,1400,2014-05-05
1943,1944,Bhatinda,Talwandi Sabo(Kot Fatta),Wheat,Other,FAQ,1400,1400,1400,2014-05-06
131,132,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,2014-05-07
639,640,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,2014-05-08
968,969,Bhatinda,Rampura Phul,Wheat,Other,FAQ,1400,1400,1400,2014-05-09
1639,1640,Bhatinda,Sangat,Wheat,Kanak,FAQ,1400,1405,1400,2014-05-10
1072,1073,Bhatinda,Rampuraphul(Bhai Rupan),Wheat,Other,FAQ,1400,1400,1400,2014-05-11
1622,1623,Bhatinda,Sangat,Wheat,Other,FAQ,1400,1405,1400,2014-05-12
344,345,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,2014-05-13
1603,1604,Bhatinda,Sangat,Wheat,Other,FAQ,1400,1405,1400,2014-05-14
588,589,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,2014-05-15
1584,1585,Bhatinda,Sangat,Wheat,Kanak,FAQ,1400,1405,1400,2014-05-16
571,572,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,2014-05-17
1567,1568,Bhatinda,Sangat,Wheat,Kanak,FAQ,1405,1405,1405,2014-05-18
1419,1420,Bhatinda,Rampuraphul(Nabha Mandi),Wheat,Other,FAQ,1400,1400,1400,2014-05-19
765,766,Bhatinda,Raman,Wheat,Other,FAQ,1400,1400,1400,2014-05-20
533,534,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,2014-05-21
524,525,Bhatinda,Maur,Wheat,Other,FAQ,1400,1400,1400,2014-05-22
